,account_length,total_day_charge,total_eve_charge,total_night_charge,total_intl_charge,customer_service_calls,churn
0,101,45.85,17.65,9.64,1.22,3,1
1,73,22.3,9.05,9.98,2.75,2,0
2,86,24.62,17.53,11.49,3.13,4,0
3,59,34.73,21.02,9.66,3.24,1,0
4,129,27.42,18.75,10.11,2.59,1,0
5,100,28.22,20.07,6.04,2.94,1,0
6,149,26.52,4.76,7.35,2.4,0,0
7,140,26.71,14.65,8.3,3.0,1,0
8,164,37.25,12.88,2.25,3.86,1,0
9,130,35.21,17.01,8.74,3.35,1,0
10,111,16.46,14.5,7.47,3.62,2,0
11,201,36.16,19.14,8.78,1.89,1,0
12,74,21.22,11.31,7.21,2.86,3,0
13,81,19.7,20.11,11.48,3.16,3,0
14,62,21.88,14.41,8.71,2.78,1,0
15,99,14.91,18.96,8.2,1.97,2,0
16,166,25.86,10.29,8.91,2.65,0,0
17,64,40.15,18.58,8.73,3.56,2,1
18,15,24.04,10.53,14.56,2.19,2,0
19,83,34.39,17.13,4.58,1.84,0,0
20,101,40.46,17.82,10.49,2.7,2,0
21,95,22.85,12.95,10.64,2.54,1,0
22,205,8.48,12.81,8.47,2.73,2,0
23,54,46.34,21.14,8.88,2.57,1,1
24,120,41.53,27.4,7.51,2.86,0,0
25,112,36.91,17.44,8.36,2.54,2,0
26,74,26.2,16.6,12.45,3.56,4,0
27,72,33.41,13.48,12.12,1.84,0,0
28,78,40.26,22.55,6.86,2.57,1,1
29,106,37.42,18.89,7.13,3.54,0,0
30,23,26.62,13.73,13.26,2.54,1,0
31,106,33.12,18.14,8.59,3.11,0,0
32,114,34.65,7.46,7.48,3.16,1,0
33,100,16.41,17.87,6.59,3.38,1,1
34,137,39.13,18.73,9.21,2.89,4,0
35,43,34.03,20.77,9.32,3.13,3,0
36,78,23.66,16.27,12.89,3.19,3,0
37,101,32.96,16.13,8.83,3.4,0,0
38,156,30.4,15.16,7.61,2.03,1,0
39,130,25.57,19.59,8.38,3.32,1,0
40,109,36.92,12.37,12.63,2.51,0,0
41,126,43.61,16.96,8.47,1.89,3,0
42,120,30.24,14.88,7.26,3.11,1,0
43,112,28.66,25.33,8.76,2.65,1,0
44,116,22.66,21.06,9.86,3.05,5,1
45,128,30.48,19.2,14.54,2.32,0,0
46,145,29.8,13.03,10.51,3.0,1,0
47,171,45.99,19.55,6.12,2.59,1,1
48,53,44.4,21.32,7.92,2.65,0,1
49,92,23.77,14.87,9.07,2.54,2,0
50,59,36.02,17.25,9.61,2.38,1,0
51,157,40.83,13.01,11.21,2.75,2,0
52,116,31.21,17.32,7.51,1.62,2,0
53,84,18.11,19.18,8.49,1.54,2,0
54,100,47.26,15.02,9.88,2.24,0,1
55,54,46.55,10.17,12.04,3.16,1,0
56,121,28.71,10.53,11.98,0.78,2,0
57,48,39.25,14.25,12.15,2.05,3,0
58,100,22.29,14.98,4.04,1.16,1,0
59,204,34.88,13.16,8.61,3.81,3,0
60,50,32.74,11.49,9.73,2.13,2,0
61,103,41.91,16.62,9.02,3.16,1,0
62,122,28.22,19.88,7.65,2.08,2,0
63,69,26.35,12.1,6.47,1.59,1,0
64,127,13.97,13.88,11.92,1.38,0,0
65,92,22.78,17.51,8.13,2.62,0,0
66,128,27.0,22.51,12.15,2.05,1,0
67,92,44.93,13.68,8.94,2.51,0,0
68,119,18.56,13.01,10.8,2.65,2,0
69,115,31.3,27.8,9.56,2.03,2,0
70,132,28.88,17.8,9.27,3.11,1,0
71,86,38.06,13.23,6.76,1.97,1,0
72,66,32.44,22.21,9.43,2.4,0,0
73,37,37.57,17.38,5.31,1.84,4,0
74,68,35.29,21.39,8.62,2.94,2,0
75,92,29.29,22.63,10.27,3.19,1,0
76,104,29.0,13.78,9.48,1.65,1,0
77,146,33.3,19.43,13.66,3.29,3,0
78,103,24.02,21.56,9.71,1.73,1,0
79,92,26.81,25.38,9.76,3.73,1,0
80,142,14.42,11.62,11.27,3.83,2,0
81,130,42.84,14.47,9.41,1.54,0,0
82,91,36.82,14.71,10.89,2.46,1,0
83,106,21.86,11.39,9.48,3.08,0,0
84,122,24.75,24.2,10.27,3.29,0,0
85,109,36.89,17.6,12.06,2.21,1,0
86,96,27.23,22.74,10.28,2.51,2,0
87,142,36.86,15.96,6.21,2.24,0,0
88,97,46.94,17.09,10.41,2.4,0,1
89,94,15.22,28.89,7.78,2.13,1,1
90,64,37.33,25.78,6.95,2.62,1,0
91,121,43.37,22.69,8.9,2.38,3,1
92,128,25.25,20.66,11.48,1.84,1,0
93,123,29.87,15.69,7.06,2.46,2,0
94,181,24.36,16.62,10.05,1.62,1,0
95,64,49.49,19.27,9.86,2.03,1,0
96,90,21.17,19.69,10.0,1.73,1,0
97,139,33.32,15.81,6.89,2.65,3,0
98,72,31.74,28.48,8.42,4.46,1,0
99,114,32.56,14.89,9.91,0.0,0,0
100,135,29.43,17.33,5.5,3.94,0,1
101,103,29.5,20.77,9.97,2.62,3,0
102,141,25.26,11.14,9.87,2.73,1,0
103,143,24.04,15.84,9.45,2.08,1,0
104,86,37.03,18.25,10.29,3.05,0,0
105,46,27.91,16.68,10.62,2.19,1,0
106,75,25.08,16.29,6.08,4.43,2,0
107,161,18.28,21.79,11.12,3.4,2,0
108,13,30.02,14.68,4.7,3.05,2,0
109,101,37.45,24.29,9.14,2.54,4,0
110,71,30.29,14.26,8.19,3.67,3,1
111,125,27.85,21.73,8.68,4.24,0,0
112,113,21.88,19.3,8.01,2.48,2,1
113,140,27.05,22.93,9.92,2.78,1,0
114,108,40.83,19.58,9.76,1.4,2,0
115,122,39.53,17.47,9.62,3.21,0,0
116,114,32.81,21.25,6.0,2.59,2,0
117,68,27.56,13.18,8.54,2.97,5,1
118,88,39.97,21.4,12.87,1.94,4,1
119,144,48.26,16.32,8.83,2.7,1,0
120,82,45.08,15.19,7.86,2.89,2,0
121,85,15.27,19.82,7.46,2.51,4,1
122,110,9.4,14.0,9.03,2.75,1,0
123,112,37.67,11.07,9.0,3.05,1,0
124,104,16.52,13.23,11.77,3.35,0,0
125,9,32.95,17.22,8.6,3.59,1,0
126,140,32.11,13.68,8.9,3.11,4,0
127,122,29.73,21.1,7.41,3.65,1,1
128,66,18.14,17.83,8.57,3.27,1,0
129,148,41.31,16.3,5.3,3.62,2,0
130,173,32.54,14.32,4.92,2.78,1,0
131,96,47.07,20.99,11.45,2.78,1,1
132,140,39.42,13.61,4.97,3.86,3,0
133,112,35.05,13.98,6.31,3.4,3,0
134,72,23.39,12.2,12.32,2.59,2,0
135,32,39.58,15.6,9.31,3.51,0,0
136,197,26.32,14.58,10.23,2.86,3,0
137,117,26.04,22.38,6.08,3.21,1,0
138,163,33.52,16.02,9.5,2.11,1,0
139,66,34.22,12.99,10.49,2.03,1,0
140,127,37.16,12.74,9.21,2.48,2,0
141,91,39.41,12.8,12.11,3.13,3,0
142,74,28.1,16.87,9.38,2.65,1,0
143,114,21.28,15.11,10.46,3.48,1,0
144,93,29.41,16.18,13.05,2.81,0,0
